Time 0
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 332.0 vs ext load: 1546.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 859.0 vs ext load: 1019.0)
Time 17
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 1109.0 vs ext load: 1410.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 138.0 vs ext load: 2381.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 550.0 vs ext load: 1969.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 722.0 vs ext load: 1797.0)
Time 18
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 453.0 vs ext load: 2453.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 1491.0 vs ext load: 1415.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 313.0 vs ext load: 2593.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 649.0 vs ext load: 2257.0)
Time 19
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 531.0 vs ext load: 1316.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 207.0 vs ext load: 1640.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 205.0 vs ext load: 1642.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 904.0 vs ext load: 943.0)
Time 20
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 405.0 vs ext load: 1921.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 769.0 vs ext load: 1557.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 129.0 vs ext load: 2197.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 1023.0 vs ext load: 1303.0)
Time 21
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 545.0 vs ext load: 1479.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 629.0 vs ext load: 1395.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 155.0 vs ext load: 1869.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 695.0 vs ext load: 1329.0)
Time 22
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 188.0 vs ext load: 1507.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 608.0 vs ext load: 1087.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 71.0 vs ext load: 1624.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 828.0 vs ext load: 867.0)
Time 23
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 231.0 vs ext load: 1673.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 850.0 vs ext load: 1054.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 130.0 vs ext load: 1774.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 693.0 vs ext load: 1211.0)
Time 24
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 12.0 vs ext load: 1984.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 406.0 vs ext load: 1590.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 815.0 vs ext load: 1181.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 763.0 vs ext load: 1233.0)
Time 25
Attempting VM 111 in atom02 (ISP: 10.1.0.3; load from it: 0.0 vs ext load: 0.0)
Attempting VM 111 in atom00 (ISP: 10.1.0.1; load from it: 0.0 vs ext load: 0.0)
Attempting VM 111 in atom01 (ISP: 10.1.0.2; load from it: 0.0 vs ext load: 0.0)
Attempting VM 111 in atom03 (ISP: 10.1.0.9; load from it: 0.0 vs ext load: 0.0)
